,Marital status,attendance,Course,Esn,Debtor,fees,Gender,scholarship,Target,Sector
0,0,1,2,0,0,1,1,0,0,Technology and Design
1,0,1,11,0,0,0,1,0,1,Tourism
2,0,1,5,0,0,0,1,0,0,Technology and Design
3,0,1,15,0,0,1,0,0,1,Business and Communication
4,1,0,3,0,0,1,0,0,1,Social Services and Health
5,1,0,17,0,1,1,1,0,1,Business and Communication
6,0,1,12,0,0,1,0,1,1,Social Services and Health
7,0,1,11,0,0,0,1,0,0,Tourism
8,0,1,10,0,0,1,0,1,1,Social Services and Health
9,0,1,10,0,1,0,0,0,0,Social Services and Health
10,0,1,14,0,0,1,0,0,1,Business and Communication
11,0,1,12,0,0,1,0,1,1,Social Services and Health
12,0,1,16,0,0,1,0,0,0,Education
13,0,1,11,0,0,1,0,1,1,Tourism
14,0,1,6,0,0,1,0,1,1,Agronomy and Veterinary Science
15,0,1,15,0,0,1,0,0,0,Business and Communication
16,0,1,10,0,0,1,0,0,2,Social Services and Health
17,0,1,12,0,0,1,0,0,1,Social Services and Health
18,0,1,8,0,0,1,0,0,1,Agronomy and Veterinary Science
19,0,1,16,0,0,1,0,0,2,Education
20,0,1,2,0,0,1,0,1,1,Technology and Design
21,0,1,13,0,0,1,0,0,2,Social Services and Health
22,0,1,12,0,0,1,0,0,1,Social Services and Health
23,0,1,14,0,0,1,0,1,1,Business and Communication
24,0,1,12,0,0,1,0,0,1,Social Services and Health
25,0,1,10,0,1,1,0,1,2,Social Services and Health
26,0,1,10,0,0,1,0,0,1,Social Services and Health
27,0,1,6,0,0,1,0,0,2,Agronomy and Veterinary Science
28,0,1,9,0,0,1,0,0,1,Business and Communication
29,0,1,12,0,0,1,1,0,2,Social Services and Health
30,0,1,4,0,0,1,1,0,2,Agronomy and Veterinary Science
31,0,1,5,0,0,1,1,0,1,Technology and Design
32,0,1,9,0,0,0,1,0,2,Business and Communication
33,0,0,3,0,0,1,0,0,1,Social Services and Health
34,0,0,17,0,0,1,1,0,1,Business and Communication
35,0,1,1,0,1,0,1,0,0,Renewable Energies
36,0,1,7,0,0,1,1,0,0,Technology and Design
37,0,1,9,0,0,1,0,0,0,Business and Communication
38,0,0,17,0,0,1,0,0,1,Business and Communication
39,0,1,8,0,1,0,0,0,0,Agronomy and Veterinary Science
40,0,1,15,0,1,1,0,0,0,Business and Communication
41,0,1,9,0,0,1,0,0,1,Business and Communication
42,0,1,12,1,0,1,0,0,1,Social Services and Health
43,0,1,15,0,0,0,0,0,0,Business and Communication
44,0,0,17,0,0,1,0,0,0,Business and Communication
45,0,0,17,0,0,1,0,0,2,Business and Communication
46,0,1,10,0,0,1,0,0,1,Social Services and Health
47,0,1,12,0,0,1,0,1,1,Social Services and Health
48,0,0,3,0,0,1,0,1,1,Social Services and Health
49,0,1,10,0,0,1,0,1,1,Social Services and Health
50,0,1,11,0,0,1,0,1,1,Tourism
51,0,1,12,0,0,1,0,1,2,Social Services and Health
52,0,1,15,0,0,1,0,1,2,Business and Communication
53,0,1,8,0,0,1,0,0,1,Agronomy and Veterinary Science
54,0,0,17,0,0,1,0,0,0,Business and Communication
55,0,1,12,0,0,1,0,0,1,Social Services and Health
56,1,1,11,0,0,1,0,0,0,Tourism
57,0,1,8,0,0,1,0,0,0,Agronomy and Veterinary Science
58,0,1,12,0,0,1,0,0,1,Social Services and Health
59,0,1,2,0,0,1,0,0,2,Technology and Design
60,0,1,12,0,0,1,0,0,1,Social Services and Health
61,0,1,10,0,0,1,0,1,1,Social Services and Health
62,0,1,2,0,0,1,1,1,2,Technology and Design
63,0,1,5,0,0,1,1,0,2,Technology and Design
64,0,1,5,0,0,1,1,0,2,Technology and Design
65,0,1,12,0,0,1,1,0,0,Social Services and Health
66,0,1,2,0,0,1,1,1,1,Technology and Design
67,0,1,4,0,0,1,1,0,1,Agronomy and Veterinary Science
68,0,1,9,0,1,1,1,0,0,Business and Communication
69,0,1,11,0,0,1,1,0,2,Tourism
